match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
75,2026-06-30,2,14,17,1,1,0.42,0.72,Penalties,0,24,7,3,6,12,1,6,sofascore.com,Paraguay,CONMEBOL,Germany,Round of 32,True,D,0,Not win,0,1,14.285714285714285
76,2026-06-30,2,10,21,1,1,1.4,0.23,Penalties,0,70,11,5,8,15,0,1,sofascore.com,Morocco,CAF,Netherlands,Round of 32,True,D,0,Not win,0,1,9.090909090909092
77,2026-06-30,2,36,19,2,1,2.02,1.15,Regular,0,48,9,3,3,7,2,4,sofascore.com,Norway,UEFA,Côte d'Ivoire,Round of 32,True,W,1,Win,0,2,22.22222222222222
78,2026-07-01,2,23,33,0,3,0.67,3.17,Regular,0,39,8,3,1,10,1,9,sofascore.com,Sweden,UEFA,France,Round of 32,True,L,0,Not win,0,0,0.0
79,2026-07-01,2,20,1,0,2,0.73,1.02,Regular,0,52,7,1,8,14,1,1,sofascore.com,Ecuador,CONMEBOL,Mexico,Round of 32,True,L,0,Not win,0,0,0.0
80,2026-07-01,2,42,45,1,2,0.76,2.04,Regular,0,40,7,2,3,12,4,5,sofascore.com,Congo DR,CAF,England,Round of 32,True,L,0,Not win,0,1,14.285714285714285
81,2026-07-02,2,34,25,2,3,3.58,1.74,AET,0,48,19,5,2,12,2,2,sofascore.com,Senegal,CAF,Belgium,Round of 32,True,L,0,Not win,0,2,10.526315789473683
82,2026-07-02,2,6,13,0,2,0.25,0.92,Regular,0,52,10,3,3,13,0,0,sofascore.com,Bosnia and Herzegovina,UEFA,USA,Round of 32,True,L,0,Not win,0,0,0.0
83,2026-07-03,2,39,29,0,3,0.32,2.84,Regular,0,36,5,0,0,15,5,6,sofascore.com,Austria,UEFA,Spain,Round of 32,True,L,0,Not win,0,0,0.0
84,2026-07-03,2,46,41,1,2,1.34,2.18,Regular,0,38,13,7,5,11,4,1,sofascore.com,Croatia,UEFA,Portugal,Round of 32,True,L,0,Not win,0,1,7.6923076923076925
85,2026-07-03,2,38,8,0,2,0.73,2.52,Regular,0,55,8,2,2,12,2,3,sofascore.com,Algeria,CAF,Switzerland,Round of 32,True,L,0,Not win,0,0,0.0
86,2026-07-04,2,26,15,1,1,1.36,0.87,Penalties,0,58,16,5,6,12,1,2,sofascore.com,Egypt,CAF,Australia,Round of 32,True,D,0,Not win,0,1,6.25
87,2026-07-04,2,30,37,2,3,0.46,2.16,AET,0,36,16,5,3,13,1,8,sofascore.com,Cabo Verde,CAF,Argentina,Round of 32,True,L,0,Not win,0,2,12.5
88,2026-07-04,2,47,44,0,1,0.26,2.19,Regular,0,39,8,0,2,9,0,7,sofascore.com,Ghana,CAF,Colombia,Round of 32,True,L,0,Not win,0,0,0.0
89,2026-07-04,3,33,14,1,0,1.8,0.3,Regular,0,76,15,5,12,11,0,1,sofascore.com,France,UEFA,Paraguay,Round of 16,True,W,1,Win,0,1,6.666666666666667
90,2026-07-04,3,10,5,3,0,1.2,0.8,Regular,0,50,5,4,1,14,3,3,sofascore.com,Morocco,CAF,Canada,Round of 16,True,W,1,Win,0,3,60.0
91,2026-07-05,3,36,9,2,1,1.05,2.61,Regular,0,66,9,5,5,6,1,4,sofascore.com,Norway,UEFA,Brazil,Round of 16,True,W,1,Win,0,2,22.22222222222222
92,2026-07-06,3,45,1,3,2,1.61,1.88,Regular,0,33,6,5,2,7,0,3,sofascore.com,England,UEFA,Mexico,Round of 16,True,W,1,Win,0,3,50.0
93,2026-07-06,3,29,41,1,0,1.42,0.85,Regular,0,56,15,6,7,9,2,3,sofascore.com,Spain,UEFA,Portugal,Round of 16,True,W,1,Win,0,1,6.666666666666667
94,2026-07-07,3,25,13,4,1,2.3,1.05,Regular,0,58,17,8,6,10,2,2,sofascore.com,Belgium,UEFA,USA,Round of 16,True,W,1,Win,0,4,23.52941176470588
95,2026-07-07,3,26,37,2,3,1.1,2.15,Regular,0,39,9,4,3,14,1,4,sofascore.com,Egypt,CAF,Argentina,Round of 16,True,L,0,Not win,0,2,22.22222222222222
96,2026-07-07,3,44,8,0,0,0.85,0.7,Regular,0,52,13,4,6,11,2,3,sofascore.com,Colombia,CONMEBOL,Switzerland,Round of 16,True,D,0,Not win,0,0,0.0
97,2026-07-09,4,10,33,0,2,0.45,1.8,Regular,0,41,7,2,3,12,2,4,sofascore.com,Morocco,CAF,France,Quarter-finals,True,L,0,Not win,0,0,0.0
98,2026-07-10,4,25,29,1,2,1.15,1.9,Regular,0,43,10,4,4,13,1,5,sofascore.com,Belgium,UEFA,Spain,Quarter-finals,True,L,0,Not win,0,1,10.0
99,2026-07-11,4,45,36,2,1,0.96,0.77,AET,0,58,14,5,6,10,2,2,sofascore.com,England,UEFA,Norway,Quarter-finals,True,W,1,Win,0,2,14.285714285714285
100,2026-07-12,4,8,37,1,3,0.53,2.0,AET,0,37,8,2,3,14,1,5,sofascore.com,Switzerland,UEFA,Argentina,Quarter-finals,True,L,0,Not win,0,1,12.5
101,2026-07-14,5,29,33,2,0,1.63,0.3,Regular,0,59,15,6,8,9,2,2,sofascore.com,Spain,UEFA,France,Semi-finals,True,W,1,Win,0,2,13.333333333333334
